room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
14502283,1461,54346523,Shared room,,Kenya,,Nairobi,0,0.0,1,1.0,,100.0,,Home next to the National Park!,2017-07-23 04:58:34.170416,-1.36057,36.761223,0101000020E610000044FB58C16F61424014B35E0CE5C4F5BF
12181515,1461,52207070,Shared room,,Kenya,,Kilifi,0,0.0,4,1.0,,65.0,,family room,2017-07-23 04:58:32.497659,-3.252685,40.126621,0101000020E610000050FEEE1D35104440A18499B67F050AC0
5385690,1461,3528139,Shared room,,Kenya,,Mombasa,1,0.0,12,1.0,,70.0,,Geo Mara Mombasa Beach Getaway,2017-07-23 04:58:32.491558,-3.967296,39.749705,0101000020E6100000E7525C55F6DF4340B6696CAF05BD0FC0
18011354,1461,2689184,Shared room,,Kenya,,Nairobi,0,0.0,6,1.0,,80.0,,Westlands Backpackers,2017-07-23 04:58:32.486213,-1.248991,36.796196,0101000020E61000005F9A22C0E96542402FF99FFCDDFBF3BF
16296016,1461,106613972,Shared room,,Kenya,,Laikipia,0,0.0,6,1.0,,75.0,,A home away from home!,2017-07-23 04:58:32.483148,0.009103,37.091233,0101000020E610000072A8DF85AD8B4240D0285DFA97A4823F
872309,1461,4583407,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,75.0,,Escapade Nest  - B & B Sleeps 2,2017-07-23 04:58:32.480977,-1.292178,36.814079,0101000020E610000021AE9CBD3368424061C5A9D6C2ACF4BF
16082140,1461,104806976,Shared room,,Kenya,,Nairobi,0,0.0,1,1.0,,67.0,,Apartment-wifi and kitchen available,2017-07-23 04:58:32.476158,-1.212083,36.839839,0101000020E6100000E27327D87F6B4240E199D024B164F3BF
11453077,1461,60220077,Shared room,,Kenya,,Mombasa,1,0.0,2,1.0,,45.0,,Barizi Apartment,2017-07-23 04:58:30.785609,-4.033121,39.716149,0101000020E610000014083BC5AADB4340473EAF78EA2110C0
2614251,1461,13384571,Shared room,,Kenya,,Nairobi,0,0.0,3,1.0,,45.0,,Serene Accomodation,2017-07-23 04:58:30.782901,-1.267705,36.765277,0101000020E6100000C4B0C398F4614240639CBF098548F4BF
502592,1461,2480262,Shared room,,Kenya,,Narok,1,0.0,16,1.0,,50.0,,Tented accommodation in Masai Mara,2017-07-23 04:58:30.779977,-1.605606,35.30648,0101000020E6100000657094BC3AA74140992EC4EA8FB0F9BF
866818,1461,4554740,Shared room,,Kenya,,Mombasa,0,0.0,2,1.0,,45.0,,Room for rent in NICE 2bd home,2017-07-23 04:58:30.777368,-4.003896,39.70503,0101000020E610000075594C6C3EDA434043572250FD0310C0
2613788,1461,13384571,Shared room,,Kenya,,Nairobi,0,0.0,3,1.0,,45.0,,Short stay Accomodation.,2017-07-23 04:58:30.764370,-1.267733,36.766698,0101000020E61000004DF4F92823624240A1F5F065A248F4BF
8139004,1461,2689184,Shared room,,Kenya,,Machakos,0,0.0,4,1.0,,47.0,,Home place,2017-07-23 04:58:30.757609,-1.363871,36.917673,0101000020E61000000BB6114F76754240B267CF656AD2F5BF
5299975,1461,27452960,Shared room,,Kenya,,Kiambu,0,0.0,10,1.0,,45.0,,"Tigoni Homestay,Limuru",2017-07-23 04:58:30.754484,-1.127385,36.679467,0101000020E61000000ADB4FC6F8564240EF0390DAC409F2BF
9334156,1461,48445828,Shared room,,Kenya,,Mombasa,0,0.0,2,1.0,,55.0,,hotbox besides mombasa city stadium,2017-07-23 04:58:29.151603,-4.045663,39.664136,0101000020E6100000520C906802D543408B8C0E48C22E10C0
4706933,1461,22636645,Shared room,,Kenya,,Nairobi,0,0.0,3,1.0,,60.0,,Cozy 1bd apt in the heart of Nairob,2017-07-23 04:58:29.145875,-1.263079,36.795796,0101000020E6100000D124B1A4DC654240EB3A54539235F4BF
778319,1461,4104099,Shared room,,Kenya,,Nairobi,0,0.0,12,1.0,,50.0,,SOUTHHOOD GUEST VILLA,2017-07-23 04:58:29.142920,-1.304575,36.856575,0101000020E61000001DC9E53FA46D424001DE02098ADFF4BF
18664426,1461,121366927,Shared room,,Kenya,,Taita Taveta,0,0.0,13,1.0,,50.0,,lake jipe camp,2017-07-23 04:58:29.140837,-3.600175,37.775281,0101000020E6100000E71A66683CE34240B003E78C28CD0CC0
8324034,1461,42763869,Shared room,,Kenya,,Nairobi,1,0.0,3,1.0,,60.0,,3 rooms available for rent,2017-07-23 04:58:29.134608,-1.296785,36.778004,0101000020E61000001F1494A2956342400118CFA0A1BFF4BF
11888934,1461,57367018,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,45.0,,2 self contained rooms,2017-07-23 04:58:29.126995,-1.293227,36.878368,0101000020E61000002DEDD45C6E704240F8DD74CB0EB1F4BF
19764879,1461,97678841,Shared room,,Kenya,,Mombasa,0,0.0,2,1.0,,50.0,,The Palace,2017-07-23 04:58:29.124860,-4.043575,39.701128,0101000020E6100000AA27F38FBED943405BB1BFEC9E2C10C0
721405,1461,1366466,Shared room,,Kenya,,Kajiado,2,0.0,4,1.0,,60.0,,Maasai Hut - maasaiimmersion.com,2017-07-23 04:58:29.122140,-2.541953,36.790764,0101000020E6100000556D37C137654240B1C05774EB5504C0
11451760,1461,60210735,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,60.0,,moses chege best accomodation style,2017-07-23 04:58:29.119324,-1.255794,36.7526,0101000020E61000001C7C61325560424059350873BB17F4BF
16987629,1461,2787227,Shared room,,Kenya,,Kwale,0,0.0,2,1.0,,50.0,,Diani Breeze Carens house,2017-07-23 04:58:29.117098,-4.30365,39.577599,0101000020E6100000E59997C3EEC94340BBB88D06F03611C0
18251938,1461,126133438,Shared room,,Kenya,,Taita Taveta,0,0.0,8,1.0,,50.0,,River Lumi Resort - Taveta,2017-07-23 04:58:29.113138,-3.300049,37.724104,0101000020E61000008E739B70AFDC42407D94111780660AC0
19132598,1461,133718661,Shared room,,Kenya,,Kajiado,0,0.0,1,1.0,,45.0,,Spacious serene private room for comfort,2017-07-23 04:58:29.110177,-1.499494,36.967741,0101000020E6100000C9FFE4EFDE7B424087C5A86BEDFDF7BF
